Event,B,BB,A,AA,AAA,AAAA
50 FR,32.69,30.39,28.09,26.89,25.69,24.49
100 FR,1:10.89,1:05.79,1:00.69,58.09,55.49,52.89
200 FR,2:33.19,2:22.19,2:11.19,2:05.69,2:00.19,1:54.69
400 FR,5:22.09,5:00.19,4:38.19,4:27.19,4:16.19,4:05.19
800 FR,11:06.59,10:20.59,9:34.59,9:11.59,8:48.59,8:25.59
1500 FR,21:13.89,19:39.89,18:05.89,17:23.89,16:41.89,15:59.89
100 BK,1:20.29,1:14.69,1:09.09,1:06.29,1:03.49,1:00.69
200 BK,2:51.99,2:39.49,2:26.99,2:20.69,2:14.49,2:08.19
100 BR,1:32.49,1:26.19,1:19.89,1:16.79,1:13.69,1:10.59
200 BR,3:17.49,3:03.89,2:50.19,2:43.39,2:36.49,2:29.69
100 FL,1:21.09,1:15.39,1:09.69,1:06.79,1:03.89,1:00.99
200 FL,2:58.29,2:45.39,2:32.49,2:26.09,2:19.59,2:13.19
200 IM,2:51.89,2:39.39,2:26.89,2:20.69,2:14.39,2:08.19
400 IM,6:04.99,5:38.79,5:12.69,4:59.59,4:46.49,4:33.49
