Event,B,BB,A,AA,AAA,AAAA
50 FR,34.59,31.99,29.49,28.19,26.89,25.69
100 FR,1:15.19,1:09.79,1:04.39,1:01.69,58.99,56.29
200 FR,2:42.69,2:31.09,2:19.49,2:13.69,2:07.89,2:02.09
400 FR,5:45.39,5:22.39,4:59.39,4:47.89,4:36.39,4:24.89
800 FR,11:58.19,11:08.19,10:18.19,9:53.19,9:28.19,9:03.19
1500 FR,22:52.49,21:10.59,19:35.39,18:48.09,18:00.69,17:13.29
50 BK,41.09,37.99,34.89,33.39,31.79,30.29
100 BK,1:28.59,1:22.29,1:15.99,1:12.89,1:09.79,1:06.69
200 BK,3:09.09,2:55.49,2:41.89,2:35.09,2:28.29,2:21.49
50 BR,45.49,42.19,38.89,37.19,35.59,33.89
100 BR,1:38.99,1:31.69,1:24.49,1:20.79,1:17.19,1:13.59
200 BR,3:31.99,3:17.19,3:02.39,2:54.99,2:47.59,2:40.19
50 FL,38.39,35.49,32.59,31.09,29.69,28.19
100 FL,1:25.99,1:19.29,1:12.59,1:09.19,1:05.79,1:02.39
200 FL,3:16.89,3:02.59,2:48.29,2:41.09,2:33.99,2:26.79
200 IM,3:04.59,2:51.89,2:39.19,2:32.89,2:26.49,2:20.09
400 IM,6:34.39,6:08.39,5:42.39,5:29.39,5:16.39,5:03.39
